Doc ID, Source, SentenceIndex,Sentence, ActualSentiment, PredictedSentiment, PredictedTopic, TopicTransitionProbabilty, SentimentTransitionProbabilty
1546,2,0,"the size of this tablet is perfect i think.",0,0,12,1.000000,1.000000
1546,2,1,"i installed launcher pro which allows many options.you can set backgrounds through quickpic and several other options.",0,0,2,0.667841,0.184180
1546,2,2,"i find this is perfect as a e reader and the wifi is flawless 99  of the time.",0,0,7,0.658351,0.179133
1546,2,3,"i enjoy it very much for the price.",0,0,7,0.648291,0.179944
1546,2,4,"i wish a lot more android apps worked on this.",1,0,7,0.635834,0.138635
1546,2,5,"setting a background is a pain getting the resolution right is interesting.",1,0,2,0.625456,0.136620
1559,2,0,"nice display and user friendly.",0,0,1,1.000000,1.000000
1559,2,1,"great price for this.",0,0,11,0.648071,0.133299
1567,2,0,"it has a nice big display and bright backlight.",0,0,6,1.000000,1.000000
1567,2,1,"it s pretty light and sturdy feeling.",0,0,3,0.666653,0.179944
1567,2,2,"is not compatible with google play so many apps are not available for it easily.",1,1,20,0.653619,0.138635
1567,2,3,"the screen resolution is low and the touch response is spotty at times.",1,1,24,0.640662,0.131350
1567,2,4,"can not be updated to android 4.0 can t even seem to get an actual facebook app for it.",1,1,26,0.628128,0.136620
1569,2,0,"lightweight  nice feel  beautiful display  good camera  everything i wanted.",0,0,3,1.000000,1.000000
1569,2,1,"i found the ui to be a bit more sluggish than i expected  even for the low price point.",1,1,26,0.647410,0.181643
1570,2,0,"small with nice assortment of colors to choose from.",0,0,2,1.000000,1.000000
1570,2,1,"it runs most anything google play has to throw so far.",0,0,14,0.673268,0.179944
1570,2,2,"i own an older 10  asus transformer 300 with jellybean 4.2.2 on it as well and this seems to have a slightly different ui  which i like better.",0,0,12,0.666138,0.135273
1570,2,3,"this was a good gift for our 12 year old.",0,0,8,0.660816,0.174988
1570,2,4,"runs youtube without a problem and took a 32gb micro sd easily.",0,0,7,0.653226,0.184180
1570,2,5,"it s a bit thick.",1,0,8,0.648511,0.174988
1570,2,6,"one of our daughters has a 2 year old 7 inch galaxy tab 2 and this is a little thicker than that.",1,0,8,0.639817,0.131350
1570,2,7,"it s still small enough and because it does everything you want... the thickness isn t a huge deal.",1,1,17,0.634575,0.135273
1570,2,8,"the built in sound is a bit lacking but so are most tablets of this size.",1,1,23,0.627406,0.138635
1570,2,9,"get some bluetooth stereo headphones and it kicks.",1,1,23,0.621545,0.136620
1572,2,0,"asus memo pad hd 7 inch 16 gb green tablet is a great tablet for the money.",0,0,0,1.000000,1.000000
1572,2,1,"this tablet has a beautiful display  7 inches  and displays images at 1280 x 800 pixels  800p .",0,0,6,0.673519,0.179944
1572,2,2,"the tablet has 170 degree wide viewing angles.",0,0,6,0.668659,0.134630
1572,2,3,"text looks sharper  colors are more vivid  and games stand out.",0,0,2,0.661388,0.138635
1572,2,4,"memo pa hd 7 has a 5 mp megapixel  autofocus rear camera with 100 picture continuous burst shooting and 1080p video recording.",0,0,9,0.711646,0.181817
1572,2,5,"this tablet also has a 1.2 mp front camera.",0,0,4,0.269617,0.066858
1572,2,6,"two of the programs that i liked that comes with this tablet are mypainter and asus studio.",0,0,4,0.701515,0.177623
1572,2,7,"mypainter allows you to demonstrate your artistic skills  while asus studio lets you manage your photos.",0,0,4,0.165257,0.054580
1572,2,8,"i have listed some more specifications that i considered important for this tablet.",0,0,0,0.633176,0.131350
1572,2,9,"they are as follows     operating system   android 4.1 jelly bean   display   7 inch display   processor   quad core 1.2 ghz   memory   16 gb flash memory  1 gb ram memory   number of usb 2.0 ports   1   battery life 10 hour   weight   10.7 ounces   item dimensions   7.7 x 4.7 x 0.4 inches   wi fi  802.11",0,0,1,0.625214,0.134630
1572,2,10,"b g n   thank you for reading my review  if you have any questions feel free to email me  i would be happy to help you with any questions you have.",0,0,0,0.621282,0.181643
1573,2,0,"great value ",0,0,9,1.000000,1.000000
1573,2,1,"fully capable tablet for everything i wanted  internet  games  apps ",0,0,9,0.657121,0.179944
1573,2,2,"sd card is unintentionally removed if body is flexed too much.",1,1,15,0.637040,0.133299
1574,2,0,"received tablet in 1 business day with free shipping.",0,1,25,1.000000,1.000000
1574,2,1,"impressive.",0,1,25,0.671282,0.174988
1574,2,2,"functions well despite mediocre tech website reviews.",0,1,25,0.660169,0.179944
1574,2,3,"for this price range  both front and rear facing cameras and micro sd slot are big pluses over the google nexus.",0,1,23,0.651321,0.131350
1574,2,4,"when buying for girls  the broader color selection is very important.",0,1,19,0.643721,0.134630
1574,2,5,"there s even a matching carrying case which looks like a little clutch purse.",0,1,19,0.633810,0.131350
1574,2,6,"sure to make a little girl happy.",0,1,19,0.624547,0.177452
1576,2,0,"i loved my nexus 7. i loved how i didn t have to deal with the preloaded stuff you get with devices from bigger brands like asus.",0,0,13,1.000000,1.000000
