basement	3	4	3	5	4	6	5	3	5	6
gimmick	2	1	4	4	8	2	1	5	5	8
penni	0	4	2	3	10	0	5	2	3	11
degrad	2	7	3	1	6	2	8	3	1	6
endless	6	7	2	1	3	8	8	2	1	3
everyday	1	4	3	2	9	1	6	4	2	9
stretch	2	4	8	0	5	3	9	12	0	6
logic	5	5	5	2	2	6	7	5	2	2
harmoni	2	4	3	3	7	2	5	4	6	8
snow	5	7	4	1	2	5	9	4	1	2
june	6	4	1	2	6	7	4	1	2	6
abc	1	2	6	5	5	1	2	7	5	5
louder	1	6	3	5	4	1	6	3	7	4
chrome	2	1	2	7	7	4	1	2	7	7
freight	2	4	3	3	7	2	5	4	4	7
doa	10	3	5	2	0	11	3	5	2	0
strip	3	2	6	5	4	5	2	6	5	4
platform	4	5	4	3	4	4	8	4	3	4
studi	7	0	3	2	8	7	0	3	2	9
hdx	4	4	1	10	1	6	5	1	11	2
breathtak	2	0	1	5	12	2	0	1	5	12
fiddl	5	6	2	3	4	5	7	2	3	5
ident	5	4	2	3	6	5	4	2	4	6
mid	2	6	5	4	3	2	6	6	4	3
shipper	2	3	4	4	7	2	3	4	4	7
charact	2	5	7	2	4	3	6	9	2	4
trumot	2	10	4	0	4	8	13	8	0	8
row	6	7	1	3	3	8	10	1	3	3
slide	2	4	5	0	9	2	5	5	0	9
explor	1	1	4	7	7	1	1	5	7	7
thread	6	3	4	1	6	7	5	4	1	6
august	8	6	0	3	3	8	6	0	4	3
xbr	3	7	2	2	6	5	10	2	6	7
histori	2	2	4	5	6	2	3	4	6	7
choppi	4	4	6	6	0	4	4	8	7	0
wobbl	0	4	9	2	5	0	6	11	2	6
justifi	0	6	2	3	9	0	6	2	3	9
encount	3	4	5	2	6	3	4	5	2	6
saver	3	2	2	9	4	3	2	3	9	6
qwerti	6	3	3	5	3	7	3	5	8	4
wrote	2	2	7	4	5	2	2	8	5	5
shine	4	5	4	3	4	4	5	4	3	4
data	4	6	2	5	3	5	6	2	6	3
flesh	2	4	7	2	5	2	6	7	3	8
480i	2	5	3	4	6	2	7	4	4	6
weather	2	8	2	2	6	2	10	2	2	8
subpar	4	8	3	3	3	4	8	6	3	3
flatscreen	1	5	5	5	5	1	6	7	5	5
elit	1	2	0	7	11	1	2	0	7	16
lamp	3	7	4	2	5	3	11	6	2	5
bestbuy	4	5	2	1	9	7	5	3	1	12
split	2	2	4	4	9	2	2	4	5	10
surfac	1	4	4	6	6	1	4	4	6	6
implement	5	6	5	2	3	6	7	6	2	3
meh	2	5	11	1	2	2	5	12	1	2
honor	9	7	2	1	2	10	8	2	1	2
minimum	2	5	3	9	2	2	5	3	12	2
slowli	4	5	4	6	2	4	5	4	6	2
combo	4	2	1	4	10	5	2	1	4	10
ownership	8	2	2	3	6	8	2	2	3	6
tomorrow	6	7	5	1	2	6	7	6	1	2
dongl	1	4	4	6	6	3	6	8	7	8
accessori	5	5	4	1	6	7	5	4	1	6
sluggish	2	4	6	6	3	2	6	6	6	3
winner	0	6	1	3	11	0	6	1	3	11
nicer	1	3	4	7	6	1	3	4	8	6
inferior	6	4	5	4	2	6	4	6	4	2
fake	2	4	3	6	6	2	4	3	7	7
consumpt	0	3	6	4	8	0	3	6	14	8
rebat	6	1	4	2	8	9	1	11	2	10
eagl	1	1	0	0	19	2	2	0	0	22
upset	4	3	9	2	3	5	3	9	3	3
recal	9	5	1	1	5	11	6	1	2	5
holiday	6	6	0	6	3	6	7	0	8	3
weigh	1	3	3	5	9	1	3	4	5	9
mobil	3	4	3	10	1	3	4	3	14	4
compens	3	8	5	1	4	3	8	5	1	4
array	1	3	8	4	5	1	3	12	4	5
viewer	3	2	5	8	3	3	2	5	8	4
pound	1	1	3	5	12	1	1	4	5	14
highest	3	5	6	2	6	3	5	6	3	7
god	10	3	0	5	4	11	3	0	5	4
hum	0	7	3	6	6	0	13	3	8	6
launch	5	5	4	6	2	15	6	5	7	3
wear	3	4	7	4	4	3	4	7	5	4
achiev	2	5	4	6	5	2	5	4	7	5
met	2	3	3	5	9	2	3	3	5	9
pure	4	4	5	4	5	4	5	6	4	5
