Doc ID, Source, SentenceIndex,Sentence, ActualSentiment, PredictedSentiment, PredictedTopic, TopicTransitionProbabilty, SentimentTransitionProbabilty
1544,2,0,"the size of this tablet is perfect i think.",0,0,7,1.000000,1.000000
1544,2,1,"i installed launcher pro which allows many options.you can set backgrounds through quickpic and several other options.",0,0,5,0.660610,0.192130
1544,2,2,"i find this is perfect as a e reader and the wifi is flawless 99  of the time.",0,0,6,0.641919,0.184757
1544,2,3,"i enjoy it very much for the price.",0,0,5,0.627639,0.182653
1544,2,4,"i wish a lot more android apps worked on this.",1,0,5,0.637737,0.138795
1544,2,5,"setting a background is a pain getting the resolution right is interesting.",1,1,18,0.623736,0.135938
1557,2,0,"nice display and user friendly.",0,0,1,1.000000,1.000000
1557,2,1,"great price for this.",0,0,14,0.630056,0.128791
1565,2,0,"it has a nice big display and bright backlight.",0,0,1,1.000000,1.000000
1565,2,1,"it s pretty light and sturdy feeling.",0,0,4,0.649267,0.182653
1565,2,2,"is not compatible with google play so many apps are not available for it easily.",1,1,23,0.644142,0.138795
1565,2,3,"the screen resolution is low and the touch response is spotty at times.",1,1,21,0.635633,0.126110
1565,2,4,"can not be updated to android 4.0 can t even seem to get an actual facebook app for it.",1,1,16,0.620231,0.135938
1567,2,0,"lightweight  nice feel  beautiful display  good camera  everything i wanted.",0,0,13,1.000000,1.000000
1567,2,1,"i found the ui to be a bit more sluggish than i expected  even for the low price point.",1,1,23,0.637269,0.188416
1568,2,0,"small with nice assortment of colors to choose from.",0,0,7,1.000000,1.000000
1568,2,1,"it runs most anything google play has to throw so far.",0,0,12,0.649698,0.182653
1568,2,2,"i own an older 10  asus transformer 300 with jellybean 4.2.2 on it as well and this seems to have a slightly different ui  which i like better.",0,0,3,0.654906,0.131520
1568,2,3,"this was a good gift for our 12 year old.",0,0,3,0.639578,0.175565
1568,2,4,"runs youtube without a problem and took a 32gb micro sd easily.",0,1,23,0.648404,0.192130
1568,2,5,"it s a bit thick.",1,1,21,0.625215,0.175565
1568,2,6,"one of our daughters has a 2 year old 7 inch galaxy tab 2 and this is a little thicker than that.",1,0,3,0.644699,0.126110
1568,2,7,"it s still small enough and because it does everything you want... the thickness isn t a huge deal.",1,1,21,0.623356,0.131520
1568,2,8,"the built in sound is a bit lacking but so are most tablets of this size.",1,1,21,0.630905,0.138795
1568,2,9,"get some bluetooth stereo headphones and it kicks.",1,1,28,0.615137,0.135938
