Doc ID, Source, SentenceIndex,Sentence, ActualSentiment, PredictedSentiment, PredictedTopic, TopicTransitionProbabilty, SentimentTransitionProbabilty
519,2,0,"1 .after power recharge full it will black screen   2. have not chinese type keyboard input  3. ram only 1.45 gb  much more less then product to brag 4gb",0,1,19,1.000000,1.000000
519,2,1,"big screen with clear display",1,0,4,0.339852,0.052964
525,2,0,"looks new and it is a samsung galaxy s3",0,1,16,1.000000,1.000000
525,2,1,"this phone is not new  i can t perform a factory data reset of any kind  the phone will take me to an initial page that is in chinese but clearly states quens reset counter xda  chainfire   which means with absolutely no doubts this phone was rooted  custon roms were installed and was sent back after a reset of the flash counter  but they forgot to set it back to the original state and now i will have to reinstall the whole factory settings on the phone myself if i want to keep it.",1,0,0,0.511042,0.065114
531,2,0,"larger sceen  ability to download cracked apps",0,0,1,1.000000,1.000000
531,2,1,"android os apps automatically load into memory even after you  kill  them or change settings to prevent them from starting up.",1,0,12,0.216045,0.023246
531,2,2,"this causes increased battery drain and uses internal ram  with unlocked version you ll have a hard time updating firmware in android s already fragmented update process.",1,0,3,0.462191,0.117947
531,2,3,"each carrier  may  offer an update and it s usually at different times.",1,0,3,0.155194,0.075740
531,2,4,"unlike iphone  the updates are carrier specific.",1,0,3,0.033205,0.011678
531,2,5,"many people with an unbranded android have to install a non supported firmware like a cyanogenmod.",1,0,0,0.624348,0.121982
531,2,6,"anti virus apps scan after you have installed the app   after you ve been infected  not before installing.",1,0,0,0.094454,0.015389
531,2,7,"samsung kies  similar to itunes  is useless and problematic  very poor product support from samsung.",1,0,1,0.574783,0.101968
542,2,0,"decent phone  .takes",0,0,1,1.000000,1.000000
542,2,1,"decent pictures.",0,0,1,0.012954,0.010367
542,2,2,"good gps.",0,0,1,0.468410,0.083530
542,2,3,"gets phone signal where a lot of other phones don t.",0,0,9,0.486961,0.083459
542,2,4,"i am not a fan of windows os for it.",1,1,17,0.504058,0.060155
542,2,5,"lot apps that are normally free they charge you for.",1,1,18,0.523004,0.060102
542,2,6,"phone is a pain 2 update.",1,1,18,0.544841,0.060155
542,2,7,"my next phone will not be a windows phone .if",1,1,18,0.563211,0.060102
542,2,8,"i have learned anything from this .",1,1,18,0.579233,0.060128
556,2,0,"1.very nice keyboard  easy to use.",0,0,2,1.000000,1.000000
556,2,1,"2.speakers are more improved  comparing with x1a version.",0,0,2,0.445350,0.077185
556,2,2,"3.design structure is very nice.",0,0,2,0.462125,0.077252
556,2,3,"1. 1.i used this phone for less than a month and first what s happened  touch screen start making a noise like a broken peace under screen panel.",1,1,19,0.469224,0.083459
556,2,4,"i was trying to set rma for return to exchange with sonny ericsson  but they only fix phones  even if you just purchased.",1,1,16,0.488875,0.065085
556,2,5,"it means after you paid  470.00 for a brand new phone  you will be given a refurbished version.",1,1,16,0.500900,0.060102
556,2,6,"this is worst    2. panel button  under  call  button.",1,1,19,0.606242,0.165288
556,2,7,"there is no reason to place this button on the top of the phone  because you pressed all the time by mistake  and this is make you slow down on the phone call.",1,1,19,0.139573,0.083972
556,2,8,"designers did a big mistake by placing this button on the main top   3.",1,1,19,0.062325,0.013704
556,2,9,"most common bug happening at least 20 times a day   ",1,1,19,0.646211,0.131378
556,2,10,"i have to restart the phone 20 times daily because of lag with all software s loading and entire windows files.",1,1,20,0.440407,0.096512
556,2,11,"when you tab the screen 3 times  quickly   it freezes the display and you cannot do anything as just restarting the phone.",1,1,20,0.225213,0.051377
557,2,0,"  fast gps   windows mobile 6.5   spb mobile shell 3.5",0,1,13,1.000000,1.000000
557,2,1,"  unstable  locks up constantly    unreliable  corrupted memory card with all pictures and music lost    accelerometers are worthless  only work with a very few programs    lags like a an old 486 running today s software   poor reception   no assignable buttons  no ms voice command    reboots randomly for no reason.",1,0,6,0.562280,0.153896
557,2,2,"  locks up and turns off screen during call  not allowing me to hang up   speaker quality is very bad.",1,0,6,0.336426,0.027838
557,2,3,"  bugs  bugs  bugs  bugs ",1,0,9,0.558878,0.077218
561,2,0,"stylish.",0,0,10,1.000000,1.000000
561,2,1,"when it works  everything is functional.",0,0,10,0.484728,0.060102
561,2,2,"sony s us customer service   repair center is a joke.",1,1,14,0.539664,0.060128
564,2,0,"was cheap  seemed higher spec for the  ",0,1,24,1.000000,1.000000
564,2,1,"buyer beware   ",1,1,25,0.466192,0.060155
564,2,2,"this phone is loaded with malware that by nature of the android os  cannot be removed   i later learned most cheapo china phones have malware from day one .",1,1,22,0.494760,0.079840
564,2,3,"thus you should avoid this one like the plague and any other no name phone from the far east.",1,1,22,0.535424,0.086310
564,2,4,"malware installed   android pup.riskpay.skymobi  android trojan.fadeb.a",1,1,22,0.564670,0.060128
565,2,0,"excellent cell phone met the needs of dual sim  was easy to use and nice design.",0,0,9,1.000000,1.000000
565,2,1,"however after 4 months the phone died  because i had some very small cracks on the screen  caused about 2 weeks after purchase  the supplier would not uphold the warranty",0,0,5,0.579325,0.165160
565,2,2,"warranty not worth anything from nlj technologies",1,1,15,0.288878,0.057121
570,2,0,"great phone   good size  comfortable to hold  fast and responsive  great battery life",0,0,4,1.000000,1.000000
570,2,1,"received a spanish la phone that is not covered under us warranty",1,1,25,0.517963,0.083494
573,2,0,"the phone is in great condition and works perfectly with gsm   lte.",0,1,15,1.000000,1.000000
573,2,1,"1 egg subtracted for the phone clearly not being new.",1,1,13,0.447235,0.083459
573,2,2,"my guess is the phone is a factory refurbished.",1,1,25,0.455556,0.065142
573,2,3,"the box was in cellophane wrapping  but it is the kind you see in the back of someone s shop and not a manufacturer wrapping.",1,1,25,0.561412,0.131484
573,2,4,"the box was dirty inside and out.",1,1,25,0.090443,0.016543
573,2,5,"this would have been acceptable if newegg indicated anywhere on the product page that this would be a refurbished product.  1 egg subtracted for false advertising.",1,1,25,0.492063,0.060102
573,2,6,"this i am most upset about and i am considering a return.",1,1,16,0.511385,0.077185
573,2,7,"this phone is not unlocked as it shows in the title.",1,1,25,0.615194,0.153896
573,2,8,"newegg even has you accept a disclaimer for buying an unlocked phone during checkout.",1,1,25,0.052075,0.013166
573,2,9,"what i received was not only a locked phone  but it has the latest updated android kit kat  with hboot 1.56 and s on.",1,1,15,0.544980,0.060155
573,2,10,"anyone that knows about what i just mentioned knows that it is extremely difficult to put a custom ruu on this phone in its current state.",1,1,13,0.560860,0.060102
573,2,11,"this may not be a deal breaker for me  but surely will be for some.",1,1,25,0.574871,0.060155
573,2,12,"i hope this review helps others to make a more informed purchase.",1,1,25,0.582627,0.065114
574,2,0,"phone is great in terms of features and build.",0,0,4,1.000000,1.000000
574,2,1,"phone arrived with one problem.",1,0,8,0.457428,0.083459
574,2,2,"the back home light stays on whether the phone is on or off.",1,0,5,0.571540,0.153896
574,2,3,"when off the lights are on and drains the batter.",1,0,5,0.046833,0.013178
574,2,4,"did a full reset on the phone and it did not solve the issue.",1,0,8,0.524539,0.060102
574,2,5,"let newegg know and wanted to send it back for a replacement  customer service said i had to call the vendor that ships it for rma.",1,0,8,0.548308,0.060155
574,2,6,"currently waiting for either vendor newegg to respond back after receiving the returned phone.",1,0,8,0.575685,0.065114
576,2,0,"crisp  bright  sharp  display  easy and stable touch response  slim and sturdy case.",0,0,4,1.000000,1.000000
576,2,1,"it is also very lightweight.",0,0,4,0.452129,0.065085
576,2,2,"powerful quad core cpu and 13 rear  5 front  megapixel cameras  16 gb internal rom .",0,0,4,0.553577,0.122081
576,2,3,"as to ram size  1.6 gb of 2 gb available are usually free.",0,0,11,0.247224,0.090231
576,2,4,"though it supports external sdhc card up to 32 gb  12 gb available is more than enough for me.",0,0,11,0.031945,0.011776
576,2,5,"only necessary applications minimum is installed  so you don t have to clean out all that garbage mobile companies ship their devices with.",0,0,0,0.513164,0.060102
576,2,6,"and it is unlocked.",0,1,19,0.535424,0.060155
576,2,7,"a system  back  button located at right from  home  button where in most android devices  menu  situated.",1,1,19,0.634077,0.121982
576,2,8,"there is no  menu  button in the device.",1,1,19,0.018429,0.009191
576,2,9,"all settings screens come with bright white background that affects battery charge negatively.",1,1,19,0.578322,0.060128
578,2,0,"great phone for the price.",0,0,7,1.000000,1.000000
578,2,1,"it runs a pretty slim version of android  not alot of bloat .",0,0,7,0.443954,0.083459
578,2,2,"works with either at t or t mobile towers.",0,1,22,0.462572,0.065142
578,2,3,"one of the biggest plus s for me was the micro sd slot..",0,1,20,0.569410,0.121982
578,2,4,"i bought a 32gb sd card and installed it before booting up the phone.",0,1,20,0.321128,0.091388
578,2,5,"so far all apps files are going directly to the sd card  which is great due to the reletively small internal storage.",0,1,20,0.224671,0.108347
578,2,6,"there is an option under storage to choose sd or internal as default storage.",0,1,20,0.049456,0.017047
578,2,7,"internal storage is listed as 16gb  but in reality it is only 12gb.",1,1,20,0.053836,0.013178
578,2,8,"if it wasn t for this i would have givin the phone 5 stars.",1,1,16,0.555983,0.060102
578,2,9,"as it is though you can store everything you want on cheap cheap sds.",1,1,16,0.564732,0.065085
578,2,10,"no software updates insight.",1,1,16,0.583973,0.065114
579,2,0,"the phone arrived quickly",0,0,11,1.000000,1.000000
579,2,1,"the phone is only showing 8gb of storage not 16 as described in listing i don t don t know if it actually supports 64gb as actually listed but i will soon find out",1,0,11,0.510930,0.060128
580,2,0,"do not buy from this seller.",0,0,8,1.000000,1.000000
580,2,1,"poor customer service.",0,0,8,0.449947,0.077252
580,2,2,"they sat on my order for 5 days at a different market place before responding to my cancellation request.",0,0,8,0.558167,0.153896
580,2,3,"i had been notified the item was shipped on the 25th  and someone they were able to cancel my order for me on the 30th.",0,0,8,0.070161,0.016517
580,2,4,"because it hadn t left the warehouse.",0,0,8,0.508898,0.060155
580,2,5,"the only positive thing i can say is that they did apologize and they did cancel my order.",0,0,8,0.520774,0.077185
580,2,6,"a lot of good that did me  while my money was tied up and i thought they gift i bought was on the way.",0,0,7,0.541144,0.065142
580,2,7,"the cons are that this should have been seller feedback for blutekusa but you can t leave seller feedback if you didn t order from them on newegg.",1,0,8,0.649636,0.153896
580,2,8,"i ordered from them at a different vendor.",1,0,8,0.269974,0.044792
581,2,0,"  holds large amounts of charge   i recharged my wife and my iphones at least 5 times  and the battery had 50  charge left.",0,0,5,1.000000,1.000000
