ASUM,B0074FGLUM,0,0,great picture
HTMM,B0074FGLUM,0,0,its a really nice size and i cant tell the difference between the  and  in a room the size of a living room
ASUM,B0074FGLUM,0,1,not good
HTMM,B0074FGLUM,0,1,great small room tv
HTSM,B0074FGLUM,0,0,nice great led screen
HTSM,B0074FGLUM,0,1,good
ASUM,B0074FGLUM,8,0,smashed screen
ASUM,B0074FGLUM,8,1,we are very disappointed with the tv
HTSM,B0074FGLUM,8,0,the tv screen is already showing issues
HTMM,B0074FGLUM,8,0,the screen was black and red
HTMM,B0074FGLUM,8,1,now there is a  diameter black circle on the bottom edge of the screen
HTSM,B0074FGLUM,8,1,i looked at it
HTSM,B0074FGLUM,1,0,this is a great tv and i got it for a great price
ASUM,B0074FGLUM,1,0,well
HTSM,B0074FGLUM,1,1,great for price
HTMM,B0074FGLUM,1,0,great tv for the price
ASUM,B0074FGLUM,1,1,the picture on this tv is great
HTMM,B0074FGLUM,1,1,samsung led 
ASUM,B0074FGLUM,9,0, and it will not last  years
HTSM,B0074FGLUM,9,0,i only used it for  months
HTMM,B0074FGLUM,9,0,do  not buy
HTSM,B0074FGLUM,9,1,only works until right after warranty is out  year
ASUM,B0074FGLUM,9,1,worked for less than hrs
HTMM,B0074FGLUM,9,1,dont buy
ASUM,B0074FGLUM,2,0,good
ASUM,B0074FGLUM,2,1,i cant tell if the tv is great or not
HTMM,B0074FGLUM,2,0,the sound on this tv was unbearable
HTMM,B0074FGLUM,2,1,and the sound
HTSM,B0074FGLUM,2,0,sound quality
HTSM,B0074FGLUM,2,1,great picture sound not great
HTSM,B0074FGLUM,10,0,audio problems
HTMM,B0074FGLUM,10,0,cannot control external speaker volume
HTSM,B0074FGLUM,10,1,it is not reinforced along the backbone with bends to keep it from being susceptible to vibrations from the speaker ports and wall mounts caused by the lower mounted speakers
ASUM,B0074FGLUM,10,0,the sound on this tv was unbearable
ASUM,B0074FGLUM,10,1,sounded like it was somewhere in asia
HTMM,B0074FGLUM,10,1,the only problem is the speakers
HTMM,B0074FGLUM,3,0,this is being going around since past  days
HTMM,B0074FGLUM,3,1,arrived smashed
HTSM,B0074FGLUM,3,0,this after waiting  days after order date
ASUM,B0074FGLUM,3,0,a great tv
ASUM,B0074FGLUM,3,1,remote is still old traditional remote
HTSM,B0074FGLUM,3,1,stopped working after  days
ASUM,B0074FGLUM,11,0,nothing happened so i called again
HTMM,B0074FGLUM,11,0,what has happened to samsung
HTSM,B0074FGLUM,11,0,samsung customer service is anything but service
HTMM,B0074FGLUM,11,1,samsung customer service
ASUM,B0074FGLUM,11,1,come on samsung
HTSM,B0074FGLUM,11,1,known problem but samsung fixed it
ASUM,B00BCGROJG,0,0,great tv
