Doc ID, Source, SentenceIndex,Sentence, ActualSentiment, PredictedSentiment, PredictedTopic, TopicTransitionProbabilty, SentimentTransitionProbabilty
1074,2,0,"very light sensitive  had to turn down the brightness in the dvr software to 8 to get a non washed out pic.",0,1,25,1.000000,1.000000
1074,2,1,"they were very inexpensive   80 black friday  so for what i paid  they re ok.",0,1,21,0.498856,0.087459
1074,2,2,"night vision is good  but the ir leds are visible as a red ring.",0,1,25,0.517005,0.107012
1074,2,3,"very narrow field of view.",1,1,25,0.562166,0.107012
1074,2,4,"might as well be black and white  colors are very pale and washed out.",1,1,25,0.580464,0.087459
1074,2,5,"resolution at 400 lines is iffy  unless someone is very close to the cam  15 20 ft   recognizable faces is not possible.",1,1,25,0.613596,0.087237
1076,2,0,"weather proof n v works well",0,0,11,1.000000,1.000000
1076,2,1,"i wasn t impressed with the picture quality.",1,0,11,0.500577,0.107012
1076,2,2,"they advertise 40  of facial recognition but it might take an expert eye for that.",1,0,11,0.546591,0.107545
1076,2,3,"i can t read the license plate of my vehicle parked  25  away.",1,0,5,0.605957,0.087237
1079,2,0,"great canon camera",0,1,14,1.000000,1.000000
1079,2,1,"the extra kit portion provided in this package is junk and not worth the extra cost.",1,1,14,0.543463,0.107278
1087,2,0,"camera build quality  button location  flip out screen  the way it feels in the hand  high megapixel count  live view  it s a canon.",0,0,9,1.000000,1.000000
1087,2,1,"high iso means nothing when the result is garbage.",1,0,9,0.215620,0.026555
1087,2,2,"i actually owned two of these  after returning the first one.",1,0,7,0.493310,0.072354
1087,2,3,"the average consumer might not notice this  but a professional should.",1,0,7,0.560897,0.150485
1087,2,4,"and manual mode only produced very average results at best.",1,0,7,0.163720,0.033486
1087,2,5,"indoors with all the lights on  it would jump up to iso 1600  full auto setting .",1,0,9,0.588796,0.153448
1087,2,6,"yet  in a side by side comparison  my xti would sit comfortably at 400 iso.",1,0,12,0.271065,0.042544
1087,2,7,"manual settings with the exact same lenses between the two produced nearly identical images.",1,0,12,0.535632,0.089766
